alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,,
-8,-0.6629,0.00743,0.00308,-0.0516,0.8929,0.0185,-4.5682,0,0,0,0.163
-7.5,-0.607,0.00721,0.00281,-0.0516,0.8732,0.0188,-4.11,0,0,0,0.1562
-7,-0.551,0.00697,0.0025,-0.0515,0.8512,0.0215,-3.6732,0,0,0,0.148
-6.5,-0.4952,0.00669,0.00221,-0.0514,0.8287,0.026,-3.261,0,0,0,0.1378
-6,-0.4385,0.00653,0.002,-0.0515,0.8053,0.027,-2.9162,0,0,0,0.1244
-5.5,-0.3823,0.0063,0.00176,-0.0515,0.7785,0.035,-2.5887,0,0,0,0.1071
-5,-0.3254,0.00618,0.00157,-0.0516,0.7502,0.0393,-2.2706,0,0,0,0.0833
-4.5,-0.2688,0.00603,0.00139,-0.0516,0.719,0.0468,-1.969,0,0,0,0.0494
-4,-0.212,0.0059,0.00123,-0.0517,0.6876,0.0576,-1.6812,0,0,0,-0.0031
-3.5,-0.1553,0.00578,0.00109,-0.0518,0.6544,0.0717,-1.4446,0,0,0,-0.0943
-3,-0.0982,0.00569,0.00097,-0.052,0.6241,0.0867,-1.2226,0,0,0,-0.2923
-2.5,-0.0412,0.0056,0.00088,-0.0521,0.594,0.1079,-1.0148,0,0,0,-1.0383
-2,0.0156,0.0055,0.0008,-0.0523,0.5639,0.1359,-0.8433,0,0,0,3.646
-1.5,0.0725,0.00542,0.00074,-0.0524,0.5348,0.1697,-0.6855,0,0,0,0.9792
-1,0.1296,0.00538,0.00071,-0.0526,0.5067,0.2007,-0.5496,0,0,0,0.6574
-0.5,0.1866,0.00532,0.00069,-0.0528,0.4799,0.2411,-0.5247,0,0,0,0.5325
0,0.2437,0.00526,0.00069,-0.053,0.4597,0.2876,-0.5703,0,0,0,0.466
0.5,0.3009,0.00519,0.0007,-0.0532,0.4396,0.3384,-0.6198,0,0,0,0.4247
1,0.3578,0.00513,0.00073,-0.0534,0.418,0.3973,-0.6741,0,0,0,0.3966
1.5,0.4141,0.00505,0.00079,-0.0535,0.3917,0.4852,-0.7341,0,0,0,0.3761
2,0.47,0.00504,0.00087,-0.0536,0.3609,0.5637,-0.8033,0,0,0,0.3604
2.5,0.5253,0.00515,0.001,-0.0535,0.322,0.6352,-0.8874,0,0,0,0.3479
3,0.5806,0.00525,0.00114,-0.0534,0.2851,0.707,-0.9978,0,0,0,0.3377
3.5,0.6349,0.00545,0.00134,-0.0532,0.2415,0.7781,-1.1354,0,0,0,0.329
4,0.6885,0.00567,0.00157,-0.0528,0.2021,0.8499,-1.2998,0,0,0,0.3214
4.5,0.7403,0.00597,0.00185,-0.0519,0.1575,0.9154,-1.487,0,0,0,0.3145
5,0.7907,0.00633,0.00214,-0.0507,0.1237,0.9619,-1.6935,0,0,0,0.3081
5.5,0.8444,0.00674,0.00243,-0.0503,0.0944,0.9887,-1.929,0,0,0,0.303
6,0.9081,0.00718,0.00275,-0.0523,0.0719,0.9977,-2.2252,0,0,0,0.3005
6.5,0.9677,0.00763,0.00308,-0.0534,0.0556,1,-2.5231,0,0,0,0.2975
7,1.0175,0.00803,0.0034,-0.0522,0.0442,1,-2.8072,0,0,0,0.2931
7.5,1.069,0.00844,0.00375,-0.0514,0.0359,1,-3.1582,0,0,0,0.2893
8,1.1205,0.00888,0.00413,-0.0508,0.0299,1,-3.5261,0,0,0,0.2859
8.5,1.1728,0.00926,0.00448,-0.0502,0.0262,1,-3.9121,0,0,0,0.2828
9,1.2237,0.00976,0.00493,-0.0495,0.0221,1,-4.3065,0,0,0,0.2798
9.5,1.2749,0.01021,0.00535,-0.0489,0.0187,1,-4.7164,0,0,0,0.277
10,1.3256,0.01066,0.00579,-0.0482,0.0175,1,-5.142,0,0,0,0.2743
10.5,1.374,0.01128,0.00636,-0.0472,0.0143,1,-5.569,0,0,0,0.2715
11,1.4224,0.01185,0.00693,-0.0462,0.0121,1,-6.0056,0,0,0,0.2688
11.5,1.4709,0.01236,0.00745,-0.0452,0.012,1,-6.5319,0,0,0,0.2663
12,1.5182,0.0129,0.008,-0.0441,0.0119,1,-7.0723,0,0,0,0.2638
